,event_type,sub_event_type,assoc_actor_1,latitude,longitude,notes,month
52402,Riots,Violent demonstration,,30.8944,66.4681,"On 5 June 2024, rioters pelted levies personnel with stones and blocked the Quetta-Chaman highway in Garang area on the outskirts of Chaman city (Killa Abdullah, Balochistan) against the removal of the sit-in protesters to demand passport-free travel along the Pakistan-Afghanistan border (coded separately). Police and levies personnel used tear gas to disperse the crowd.",2024-06
52403,Riots,Violent demonstration,,30.8944,66.4681,"On 5 June 2024, rioters broke into and raided the DC office in Chaman city (Killa Abdullah, Balochistan) during a demonstration against the removal of sit-in protestors on the Quetta-Chaman highway in the Garang area, protesting to demand passport-free travel along the Pakistan-Afghanistan border (coded separately). Rioters also hurled stones at the building of the Chaman Press Club. Levies personnel forcefully dispersed the crowd and arrested 7 rioters. No casualties.",2024-06
52406,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),27.7383,66.6433,"On 5 June 2024, relatives staged sit-in protest and blocked the RDC highway in Khuzdar area (Khuzdar, Balochistan) against the forced disappearance of a Baloch person.",2024-06
52581,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),30.1999,67.0097,"On 4 June 2024, protestors (likely Baloch based on the protest demand) staged sit-in protest in front of the commissioner's office in Quetta city (Quetta, Balochistan) against the forced disappearance of a Baloch person (coded separately).",2024-06
52910,Protests,Peaceful protest,,30.1999,67.0097,"On 2 June 2024, Washik residents staged sit-in protest in front of Quetta Press Club in Quetta city (Quetta, Balochistan) against unemployment in border districts.",2024-06
52911,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); HDT: Haq Do Movement,26.4211,62.8977,"On 2 June 2024, relatives, activists and president of HDT staged an initiating protest in Zamuran town (Kech, Balochistan) against forced disappearances of Baloch persons (coded separately).",2024-06
53028,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BSO: Baloch Students' Organization; HDT: Haq Do Movement; Students (Pakistan),26.0001,63.0527,"On 2 June 2024, relatives, activists, BSO members and president of HDT marching from Buleda area reached Turbat city (Kech, Balochistan) after long march protest against forced disappearances of Baloch persons (coded separately).",2024-06
53241,Protests,Peaceful protest,Teachers (Pakistan),26.0001,63.0527,"On 1 June 2024, teachers and activists staged protest in front of Turbat University (Kech, Balochistan) against the decrease in education budget for universities in Balochistan.",2024-06
53293,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,25.1216,62.3254,"On 31 May 2024, BYC members, relatives and activists staged protest in front of Gwadar Press Club in Gwadar city (Gwadar, Balochistan) against the forced disappearances of Baloch persons (coded separately).",2024-05
53294,Protests,Protest with intervention,,25.0434,66.8187,"On 31 May 2024, police forces aerial fired and tear gassed protesters, and wounding many at the highway in front of civic centre in Hub city (Las Bela, Balochistan) when residents had staged protest against the power supply company for excessive power outages. No fatalities.",2024-05
53295,Protests,Peaceful protest,Labor Group (Pakistan); Tribal Group (Pakistan),30.1999,67.0097,"On 31 May 2024, traders, tribal elders, business community and civil society members from Mashkel town reached Quetta city (Quetta, Balochistan) after long march protest along Quetta-Taftan national highway against the closure of Pakistan-Iran Maza Sar border crossing.",2024-05
53447,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; JUI-F: Jamiat Ulema-e-Islam-Fazl; Labor Group (Pakistan); Students (Pakistan); Teachers (Pakistan),25.0434,66.8187,"On 30 May 2024, a large number of women, children, employees of Lasbella University, teachers, students, and BNP-M and JUI-F leaders staged a protest rally outside Las Bela press club in Hub city (Las Bela, Balochistan) demanding district status for the university.",2024-05
53578,Protests,Peaceful protest,APCA: All Pakistan Clerks Association; Labor Group (Pakistan),29.0266,66.5936,"On 30 May 2024, a large number of APCA members staged a protest rally from the district office to the deputy commissioners office in Kalat town (Kalat, Balochistan) demanding wage increases and changes in government employment policies.",2024-05
53650,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Journalists (Pakistan),25.0434,66.8187,"On 29 May 2024, journalists and activists staged protest and blocked the road near Lasbela press club in Hub city (Las Bela, Balochistan) against the abduction of a Baloch journalist and social media activist (coded separately).",2024-05
53851,Protests,Peaceful protest,Labor Group (Pakistan),29.5521,66.0228,"On 29 May 2024, traders, civil society members, and political activists on a long march protest from Mashkel town reached Nushki area (Nushki, Balochistan) demanding the opening of the Pakistan-Iran Maza Sar border.",2024-05
53861,Protests,Peaceful protest,Labor Group (Pakistan),29.01,65.3465,"On 28 May 2024, traders, civil society members, and political activists on a long march protest from Mashkel town reached Padag area (Chagai, Balochistan) demanding the opening of the Pakistan-Iran Maza Sar border.",2024-05
53862,Protests,Peaceful protest,Fishers (Pakistan); Labor Group (Pakistan),25.2837,63.3639,"On 28 May 2024, fishermen staged protest and blocked the main road in Kapar Pasni area of Pasni tehsil (Gwadar, Balochistan) against the coastal guards for failing to protect fishermen from trawler mafias after 80 trawlers attacked fishermen in the sea.",2024-05
53865,Riots,Violent demonstration,Labor Group (Pakistan),30.0442,69.9257,"On 28 May 2024, gas station owners staged a demonstration, burned tires, and blocked the Punjab-Balochistan highway in Rakhni town (Barkhan, Balochistan) against the Frontier Corps for their suspected misbehaviour against the gas station owners.",2024-05
53986,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 28 May 2024, relatives staged protest outside the district commissioner office in Turbat city (Kech, Balochistan) after six Baloch persons were abducted by military forces. Three out of the six Baloch persons were soon recovered.",2024-05
54197,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 27 May 2024, relatives and residents staged a sit-in protest outside the district commissioner's office in Turbat city (Kech, Balochistan) after two Baloch persons were forcibly disappeared by military forces on 26 May 2024 (coded separately).",2024-05
54261,Protests,Peaceful protest,Labor Group (Pakistan),28.9876,63.5908,"On 26 May 2024, hundreds of traders ended a month-long sit-in in Mashkel town and embarked on a long march protest from Mashkel town to Quetta city, reaching the Yakmach area in Chagai district (Chagai, Balochistan). The protesters were demanding the opening of the Pakistan-Iran Maza Sar border.",2024-05
54401,Protests,Peaceful protest,GHA: Grand Health Alliance; Health Workers (Pakistan); Labor Group (Pakistan),29.7945,66.7206,"On 25 May 2024, members of the Grand Health Alliance staged protest in front of Sarawan Press Club in Mastung town (Mastung, Balochistan) against the possible privatization of the health department and demands for upgrades for paramedical staff and other health workers.",2024-05
54641,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BNP-M: Balochistan National Party-Mengal; BYC: Baloch Yakjehti Committee; NP: National Party,28.8884,64.4061,"On 24 May 2024, BYC, NP, BNP-M members, residents, and civil society members staged a protest rally outside the press club in Dalbandin town (Chagai, Balochistan) against the suspected harassment by military personnel towards Baloch drivers on the Pakistan-Afghanistan border. It was claimed that military personnel had removed the shoes of Baloch individuals and forced them to stand on hot ground.",2024-05
54843,Protests,Peaceful protest,Teachers (Pakistan),30.1999,67.0097,"On 23 May 2024, Community Schools Teachers Association staged protest and marched from Metropolitan Corporation to Balochistan Assembly in Quetta city (Quetta, Balochistan) demanding an increase in salaries of contract teachers and regularization of their positions.",2024-05
55272,Protests,Peaceful protest,Farmers (Pakistan),28.4839,67.5874,"On 21 May 2024, members of the Pakistan Kisan Rabita Committee and farmers staged protest in Jhal Magsi area (Jhal Magsi, Balochistan) demanding the government to purchase wheat from farmers.",2024-05
55273,Protests,Peaceful protest,Farmers (Pakistan),30.1999,67.0097,"On 21 May 2024, members of the Pakistan Kisan Rabita Committee and farmers staged protest in Quetta city (Quetta, Balochistan) demanding the government to purchase wheat from farmers.",2024-05
55276,Protests,Peaceful protest,Journalists (Pakistan),30.1999,67.0097,"On 21 May 2024, members of Balochistan Union of Journalists joined other journalists and staged a protest outside Quetta Press Club in Quetta city (Quetta, Balochistan) against the police decision to block BYC members from entering the Press Club. This marked the second day of protests, with journalists demanding the right to assemble inside the press club and calling for non-interference from the government.",2024-05
55277,Protests,Peaceful protest,Labor Group (Pakistan),25.0434,66.8187,"On 21 May 2024, a large number of members of the All Transport Union Alliance, drivers, cleaners, and other transport union members staged protest from Hub Maghrabi Bypass Bhawani to Lasbela Press Club in Hub area (Las Bela, Balochistan) against excesses of check posts and ban on Iranian oil business.",2024-05
55278,Protests,Peaceful protest,Labor Group (Pakistan); Teachers (Pakistan),30.1999,67.0097,"On 21 May 2024, teachers and employees of Balochistan University staged protest outside the main gate on Saryab Road in Quetta city (Quetta, Balochistan) against the non-payment of salaries.",2024-05
55279,Protests,Peaceful protest,TTAP: Tehreek-i-Tahafuz Ayeen-i-Pakistan,30.8944,66.4681,"On 21 May 2024, members of the TTAP party alliance staged protest and blocked the Quetta-Chaman, Quetta-Zhob, Quetta-Dera Ghazi Khan, and Quetta-Karachi highways using barricades and boulders in Quetta city (Quetta, Balochistan) in support of the ongoing protests in Chaman, demanding the withdrawal of the government's Afghanistan-Pakistan visa policies.",2024-05
55329,Protests,Peaceful protest,Farmers (Pakistan),28.4839,67.5874,"On 21 May 2024, members of the Pakistan Kisan Rabita Committee and farmers held a protest demonstration in Jhal Magsi city (Jhal Magsi, Balochistan), demanding the government to purchase wheat from the farmers and arrest the people involved in the wheat scandal.",2024-05
55392,Protests,Protest with intervention,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 21 May 2024, relatives staged protest on M-8 Shahrah-D Baloch point road in Turbat area (Kech, Balochistan) demanding the recovery of a forcibly disappeared Baloch person. Police forces are suspected to have 'attacked' and later detain the father of the abducted individual, as well as 'harass' women during the protests. No further information.",2024-05
55598,Protests,Peaceful protest,Journalists (Pakistan),30.1999,67.0097,"On 20 May 2024, a large group of journalists staged a protest outside Balochistan Assembly in Quetta city (Quetta, Balochistan) after the police blocked BYC members from entering Quetta Press Club. Journalists walked out of the assembly and chanted slogans demanding the suspension of the Quetta district police commissioner for preventing BYC members from exercising their right of assembly.",2024-05
55656,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 20 May 2024, relatives staged a protest sit-in on the M-8 Highway in Turbat area (Kech, Balochistan) demanding the release of a forcibly disappeared Baloch person (coded separately).",2024-05
55790,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0159,63.8883,"On 19 May 2024, relatives staged a protest sit-in on M-8 CPEC Road in Hoshab tehsil (Kech, Balochistan) demanding the release of a forcibly disappeared Baloch person.",2024-05
55839,Protests,Protest with intervention,Baloch Ethnic Group (Pakistan),26.3091,63.1537,"On 19 May 2024, residents staged a protest outside the Frontier Corps camp in Gali Buleda area (Kech, Balochistan) against Frontier Corps personnel for indiscriminate firing in the area. Frontier corps personnel are suspected to have threatened protesters and 'mistreated' women and children during the protests.",2024-05
55971,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),27.3372,66.3761,"On 18 May 2024, residents and relatives staged protest on the Quetta-Karachi national highway in Wadh tehsil (Khuzdar, Balochistan) against the forced disappearance of two Baloch youths (coded separately).",2024-05
55972,Protests,Peaceful protest,Fishers (Pakistan),25.1216,62.3254,"On 18 May 2024, a large number of residents and fishermen staged a protest and blocked the Gwadar GT Road in Gwadar city (Gwadar, Balochistan) against the suspected torture of two fishermen by Coast Guard personnel's (coded separately) for fishing in the night.",2024-05
56372,Protests,Peaceful protest,,30.1999,67.0097,"On 16 May 2024, members of the Pakistan Citizen Liberation Forum staged protest outside Quetta Press Club in Quetta city (Quetta, Balochistan) against inflation and the price hike of essential commodities.",2024-05
56487,Protests,Protest with intervention,Baloch Ethnic Group (Pakistan),26.9817,64.1166,"On 16 May 2024, Baloch activists staged a protest rally from Gurjak to Malashband areas in Panjgur district (Panjgur, Balochistan) against the forced disappearance of 6 Baloch persons on 16 May 2024 (coded separately). During the protest, one more Baloch person was detained, and later forcibly disappeared, by military forces.",2024-05
56628,Protests,Peaceful protest,Students (Pakistan); Women (Pakistan),30.1999,67.0097,"On 15 May 2024, students of Appozai Girls High School staged protest and blocked the national highway between Quetta and Zhob in Quetta area (Quetta, Balochistan) against the lack of adequate number of teachers at school.",2024-05
57097,Protests,Peaceful protest,Health Workers (Pakistan),30.1999,67.0097,"On 13 May 2024, members of the Balochistan Veterinary Doctors Association staged protest outside Quetta Press Club in Quetta city (Quetta, Balochistan) against unemployment and demanded the creation of more jobs.",2024-05
57318,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,25.1216,62.3254,"On 12 May 2024, hundreds of BYC activists, including women, children, and elders staged protest at Shahada-Jiwani Chowk in Gwadar city (Gwadar, Balochistan) against the construction of fences in the city being built to protect Chinese workers. Protesters also demanded the return of forcibly disappeared persons.",2024-05
57347,Protests,Peaceful protest,,27.7383,66.6433,"On 12 May 2024, relatives staged protest with the body of the deceased and blocked Locker Road at the highway in Khuzdar city (Khuzdar, Balochistan) following police claims that the death was an accident.",2024-05
57523,Protests,Peaceful protest,Labor Group (Pakistan),25.0434,66.8187,"On 11 May 2024, laborers of plastic processing unit held a protest demonstration in Hub town (Las Bela, Balochistan), against their termination without any notice.",2024-05
57688,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),25.1216,62.3254,"On 10 May 2024, a large number of residents (likely Baloch based on the issue and location) staged protest from Surbandar Chowk to the Jetty in Surbandar area of Gwadar city (Gwadar, Balochistan) against the forced disappearance of 5 Baloch persons following detainments by military forces during an operation conducted after the killing of 7 Punjabi workers in the area (the forced disappearances and the attack against workers have been coded separately).",2024-05
57690,Protests,Peaceful protest,Farmers (Pakistan),30.1999,67.0097,"On 10 May 2024, members of the Zamindar Action Committee and farmers staged protest outside the provincial assembly in Quetta city (Quetta, Balochistan) against unannounced power outages in the province.",2024-05
57941,Protests,Peaceful protest,PTI: Pakistan Tehreek-i-Insaf,30.1999,67.0097,"On 9 May 2024, PTI leaders and activists staged protest in Quetta city (Quetta, KPK) and demanded release of the PTI founder marking the one-year anniversary of the riots on 9 May 2023, against military installations.",2024-05
57948,Protests,Peaceful protest,,25.0434,66.8187,"On 9 May 2024, activist supporters of the military staged protest in Hub town (Las Bela, Balochistan) marking the one-year anniversary of the riots on 9 May 2023, against military installations as a 'black day'.",2024-05
58133,Protests,Peaceful protest,Labor Group (Pakistan),29.7945,66.7206,"On 8 May 2024, truck drivers staged protest on Quetta-Karachi Highway in Mastung district (Mastung, Balochistan) against suspected violence and extortion by highway police personnel towards truck drivers.",2024-05
58137,Protests,Peaceful protest,Women (Pakistan),29.7945,66.7206,"On 8 May 2024, women protested against a raid on a tribal leader's house along the Quetta-Highway Highway in Mastung district (Mastung, Balochistan).",2024-05
58897,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee; Women (Pakistan),27.7383,66.6433,"On 4 May 2024, a large number of women and children relatives of Baloch individuals, supported by BYC, who had been forcibly disappeared staged protest in Khuzdar city (Khuzdar, Balochistan) demanding the recovery of their family members, who they claim have been abducted by military forces over many years.",2024-05
58899,Protests,Excessive force against protesters,Labor Group (Pakistan); Laghari Communal Group (Pakistan),30.8944,66.4681,"On 4 May 2024, Frontier Corps personnel opened fire on dozens of Laghari Pakistan-Afghanistan border workers protesting in Chaman town (Killa Abdullah, Balochistan) against the government's new border visa policy. During the protest, protesters burned tires and were first dispersed by tear gas and later fired upon. At least 1 was killed and more than 10 were injured.",2024-05
59364,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Women (Pakistan),27.1142,65.5629,"On 2 May 2024, women residents staged protest in Mashkai tehsil (Awaran, Balochistan) against the detainment and forced disappearance of Baloch persons by military forces. The women also voiced their objection to the suspected incidents of torture and forced labor that the abducted individuals are subjected to after being taken into custody. Many of women are families of detained or missing persons.",2024-05
59433,Protests,Peaceful protest,Government of Pakistan (2022-); HDT: Haq Do Movement; Labor Group (Pakistan); PRWU: Pakistan Railways Workers Union,30.1999,67.0097,"On 1 May 2024, a HDT leader and an MP, labor group leaders, and workers staged protest in Quetta city (Quetta, Balochistan) to mark International Labor Day. Railway workers and PRWU members also staged protest in the city to mark International Labor Day.",2024-05
59768,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 30 April 2024, hundreds of traders and members of the business community staged protest in front of the Customs Intelligence Office in Satellite Town, Quetta city (Quetta, Balochistan) against arbitrary raids by FC and Custom officials during the anti-smuggling campaign. Protesters demanded an end to the confiscation of their goods during the raids.",2024-04
59773,Protests,Peaceful protest,,25.1185,66.7298,"On 30 April 2024, local residents staged protest on the highway at the Town Committee in Gadani town (Las Bela, Balochistan) against the shipbreaking yard for failing to provide employment opportunities to local residents.",2024-04
60185,Protests,Peaceful protest,Students (Pakistan),29.0266,66.5936,"On 28 April 2024, Kalat Student Forum members staged protest at Degree College in Kalat town (Kalat, Balochistan) against the administration's refusal to provide students a place to organize a book stall. Students demanded for more equal opportunities and for greater collaboration by the administration.",2024-04
60279,Protests,Peaceful protest,JUI-F: Jamiat Ulema-e-Islam-Fazl; Labor Group (Pakistan); PWF: Pakistan Workers Federation,30.1531,68.5732,"On 27 April 2024, coal mine workers, owners, PWF, and JUI-F members staged protest outside the Municipal Committee office in Duki city (Loralai, Balochistan) demanding the recovery of 9 abducted laborers from Loralai area (coded separately).",2024-04
60368,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 27 April 2024, relatives staged protest at Shaheed Fida Chowk in Turbat city (Kech, Baloch) against the detainment and forced disappearance of a Baloch person from Turbat city (coded separately).",2024-04
60372,Protests,Peaceful protest,Labor Group (Pakistan),26.9817,64.1166,"On 27 April 2024, passenger bus drivers and owners halted bus service and staged protest at various check points in Panjgur area (Panjgur, Balochistan) against suspected financial extortion and illicit payment demands by stationed security forces.",2024-04
60492,Protests,Peaceful protest,PTI: Pakistan Tehreek-i-Insaf,30.1999,67.0097,"On 26 April 2024, a large number of PTI members and activists staged protest outside the Quetta Press Club in Quetta city (Quetta, Balochistan) against suspected rigging in the 2024 General Elections and demanded the release of PTI founder, Imran Khan and another PTI party leader.",2024-04
60961,Protests,Peaceful protest,Women (Pakistan),28.5833,65.4167,"On 24 April 2024, women shouted slogans and held a protest in Kharan city (Balochistan) against the continuous non-supply of water by the district administration.",2024-04
60962,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 24 April 2024, Water and Sewerage Authority (WASA) employees held a rally and a sit-in protest at Quetta Hockey Chowk in Quetta city (Balochistan) against the non-payment of salaries.",2024-04
61371,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0382,63.3722,"On 22 April 2024, relatives, local residents and member of Baloch Solidarity Committee staged a protest and blocked MT Highway in Shapok area (Kech, Balochistan) against the forced disappearance of a Baloch student and demanded their recovery. The individual was abducted by military personnel over two years ago.",2024-04
61372,Protests,Peaceful protest,Students (Pakistan),29.7945,66.7206,"On 22 April 2024, students of Cadet College held a protest and blocked the main highway in Mastung town (Balochistan) against the expulsion of fellow students by the college.",2024-04
61435,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"Around 22 April 2024 (as reported), relatives staged a sit-in protest and blocked at D Baloch's place in Turbat city (Kech, Balochistan) against the forced disappearance of a Baloch man and demanded their recovery.",2024-04
62413,Protests,Peaceful protest,Shiite Muslim Group (Pakistan); TNFJ: Tehreek Nifaz Fiqah-e-Jafariya,30.1999,67.0097,"On 17 April 2024, TNFJ activists staged protest outside Quetta Press Club in Quetta city (Quetta, Balochistan) against the destruction of Jannat-ul-Baqi, a historical cemetery in Medina city, by Saudi authorities. The Shiite community members annually commemorate this day, mourning the demolition of the graves in Saudi Arabia.",2024-04
62570,Protests,Peaceful protest,Labor Group (Pakistan),25.2837,63.3639,"On 16 April 2024, transporters staged protest and blocked the Makran Coastal Highway at Karwat Zero point in Pasni city (Gwadar, Balochistan) against suspected extortion by Coast Guards at check posts.",2024-04
62892,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Women (Pakistan),29.7945,66.7206,"On 14 April 2024, a large number relatives, women, and children staged protest near Mastung Nawab Hotel and blocked the RDC Highway in Mastung city (Mastung, Balochistan) against the abduction and forced disappearance of a Baloch person on 19 October 2023 (coded separately).",2024-04
63042,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; JI: Jamaat-e-Islami; MWM: Majlis Wahdat-e-Muslimeen; PKMAP: Pashtunkhwa Milli Awami Party; PTI: Pakistan Tehreek-i-Insaf; SIC: Sunni Ittehad Council,30.5802,66.9961,"On 13 April 2024, members of the 6 Party Grand Alliance including PTI, PkMAP, JI, MWM, SIC, and BNP staged a protest rally in Pishin city (Pishin, Balochistan) to initiate a nationwide movement against the newly elected government.",2024-04
63198,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); IVBMP: International Voice For Baloch Missing Persons,30.1999,67.0097,"On 12 April 2024, Members of Voice of Baloch Missing Persons staged a protest outside Quetta Press Club in Quetta city (Quetta, Balochistan) on the occasion of Eid-ul-Fitr demanding the recovery of abducted and forcibly disappeared Baloch persons.",2024-04
63325,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0382,63.3722,"On 11 April 2024, relatives and local residents staged protest and blocked MT Highway in Shapok area (Kech, Balochistan) against the forced disappearance of a Baloch student and demanded their recovery. The individual was abducted by military personnel over two years ago.",2024-04
63427,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.8977,69.5256,"On 10 April 2024, BYC members and Baloch activists staged protest in Barkhan city (Barkhan, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63428,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.0415,67.8239,"On 10 April 2024, BYC members and Baloch activists staged protest in Bhag city (Lehri, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63429,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,28.8884,64.4061,"On 10 April 2024, BYC members and Baloch activists staged protest in Dalbandin city (Chagai, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons,on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63430,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,25.1216,62.3254,"On 10 April 2024, BYC members and Baloch activists staged protest in Gwadar city (Gwadar, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63431,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,25.0434,66.8187,"On 10 April 2024, BYC members, relatives, and Baloch activists staged protest in Hub town (Las Bela, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons. Thousands protested across Balochistan.",2024-04
63432,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,28.5833,65.4167,"On 10 April 2024, BYC members, civil society members, and Baloch activists staged protest in Kharan town (Kharan, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63433,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,27.7383,66.6433,"On 10 April 2024, BYC members, relatives, and Baloch activists staged protest in Khuzdar town (Khuzdar, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons. Thousands protested across Balochistan.",2024-04
63434,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.9053,69.0885,"On 10 April 2024, BYC members and Baloch activists staged protest in Kohlu town (Kohlu, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63435,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.3479,66.6365,"On 10 April 2024, BYC members and Baloch activists staged protest in Mangochar town (Kalat, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63438,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.7945,66.7206,"On 10 April 2024, BYC members and Baloch activists staged protest in Mastung town (Mastung, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63441,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,28.6463,68.1562,"On 10 April 2024, BYC members and Baloch activists staged protest in Naseerabad town (Nasirabad, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63442,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,30.1999,67.0097,"On 10 April 2024, BYC members, relatives, and Baloch activists staged protest in Quetta city (Quetta, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons.",2024-04
63443,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.5511,67.8322,"On 10 April 2024, BYC members, relatives, and Baloch activists staged protest in Sibi town (Sibi, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons. Thousands protested across Balochistan.",2024-04
63473,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,27.6868,66.1915,"On 10 April 2024, BYC members, relatives, and Baloch activists staged protest in Nall town (Khuzdar, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons. Thousands protested across Balochistan.",2024-04
63478,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,26.4567,65.2314,"On 10 April 2024, BYC members and Baloch activists staged protest in Awaran city (Awaran, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63490,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.0266,66.5936,"On 10 April 2024, BYC members and Baloch activists staged protest in Kalat town (Kalat, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
63507,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,26.0001,63.0527,"On 10 April 2024, BYC members, relatives, and Baloch activists staged protest in Turbat city (Kech, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons. Thousands protested across Balochistan.",2024-04
63509,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,26.9817,64.1166,"On 10 April 2024, BYC members and Baloch activists staged protest in Panjgur town (Panjgur, Balochistan), under the aegis of BYC and Voice for Baloch Missing Persons, on the first day of Eid against forced disappearances of Baloch persons and demanded the immediate recovery of missing persons. Thousands protested across Balochistan.",2024-04
